Attribute,Short Name
deviceStorageBattery,deSBy
deviceSwitch,devSh
deviceTelevision,devTn
deviceThermometer,devTr
deviceThermostat,devTt
deviceWaterHeater,deWHr
deviceWaterPurifier,deWPr
deviceWaterValve,deWVe
deviceWeightScaleAndBodyCompositionAnalyser,dWSAB
deviceWindowShade,deWSe
diastolicPressure,diaPe
disable,disae
discharging,discg
dischargingCapacity,disCy
dishWasherJobMode,dWJMe
dmAgent,dmAgt
dmAreaNwkDeviceInfo,dANDo
dmAreaNwkInfo,dANIo
dmCapability,dmCay
dmDataModelIO,dDMIO
dmDeviceInfo,dmDIo
dmEventLog,dmELg
dmFirmware,dmFie
dmPackage,dmPae
dmSoftware,dmSoe
dmStorage,dmSte
doorLock,dooLk
doorlock,doork
doorState,dooSe
doorStatus,dooSs
downChannel,dowCl
downVolume,dowVe
duration,dur
electricEnergy,eleEy
electricVehicleConnector,elVCr
enable,enabe
enabled,enabd
energy,enery
energyConsumption,eneCn
energyGeneration,eneGn
estimatedTimeToEnd,eTTEd
extraRinse,extRe
fat,fat
fatFreeMass,faFMs
faultDetection,fauDn
features,feats
filterInfo,filIo
filterLifetime,filLe
flexNode,fleNe
foaming,foamg
foamingStrength,foaSh
format,formt
frequency,freqy
fridgeTemperature,friTe
friendlyLocation,friLn
friendlyName,friNe
frozenTemperature,froTe
fwVersion,fweVn
generationSource,genSe
geoJSON,geoJN
geoLocation,geoLn
glucometer,glucr
grainsRemaining,graRg
green,green
grinder,grinr
hangup,hangp
hash,hash
hba1c,hba1c
heading,headg
headingAccuracy,heaAy
heatingLevel,heaLl
heatingZone,heaZe
height,heigt
horizontalAccuracy,horAy
horizontalDirection,horDn
hotWaterSupply,hoWSy
hwVersion,hweVn
impactDirectionHorizontal,imDHl
impactDirectionVertical,imDVl
impactLevel,impLl
impactSensor,impSr
impactStatus,impSs
impedance,impee
incrementNumberValue,inNVe
install,instl
jobModes,jobMs
jobStates,jobSs
kcal,kcal
keepWarm,keeWm
keyNumber,keyNr
keypad,keypd
latitude,latie
level,lvl
light,light
liquidLevel,liqLl
liquidRemaining,liqRg
locale,locae
localization,loca0
location,locan
lock,lock
loginName,logNe
longitude,longe
loudness,louds
lowBattery,lowBy
lqi,lqi
machineStates,macSs
manufacturer,manur
manufacturerDetailsLink,maDLk
manufacturingDate,manDe
material,matel
maxHeatingLevel,maHLl
maxLength,maxLh
maxLevel,maxLl
maxSpeed,maxSd
maxValue,maxVe
meanPressure,meaPe
measuringScope,meaSe
mediaID,medID
mediaInput,medIt
mediaName,medNe
mediaOutput,medOt
mediaSelect,medSt
mediaType,medTe
memorySize,memSe
messageEncoding,mesEg
metadata,metaa
milkFoaming,milFg
milkQuantity,milQy
milkStatus,milSs
minLength,minLh
minLevel,minLl
minSpeed,minSd
minValue,minVe
modality,moday
model,model
monitoringEnabled,monEd
motionSensor,motSr
multiFirmware,mulFe
multiplyingFactors,mulFs
muscle,musce
muscleMass,musMs
muteEnabled,mutEd
name,name
network,netwk
nextTrack,nexTk
numberValue,numVe
object,objet
objectType,objTe
open,open
openAlarm,opeAm
openDuration,opeDn
openLevel,opeLl
operationMode,opeMe
origin,orign
originID,oriID
osVersion,oseVn
overcurrentSensor,oveSr
overcurrentStatus,oveSs
oximeter,oximr
oxygenSaturation,oxySn
ozoneMeter,ozoMr
ozoneStatus,ozoSs
ozoneValueMG,ozVMG
ozoneValuePPM,oVPPM
password,pwd
payload,payld
phoneCall,phoCl
playerControl,plaCl
postalAddress,posAs
power,power
powerGenerationData,poGDa
powerOutlet,powOt
powerSave,powS0
powerSaveEnabled,poSEd
powerState,powSe
powerStatus,powSs
precision,precn
presentationURL,prURL
previousChannel,preCl
previousTrack,preTk
preWash,preWh
primaryName,priNe
primaryState,priSe
primaryUrl,priUl
primaryVersion,priVn
printerRunState,prRSe
printingState,priS0
printQueue,priQe
printSizeX,priSX
printSizeY,priSY
printSizeZ,priSZ
printType,priTe
progressPercentage,proPe
pulsemeter,pulsr
pulseRate,pulRe
pushButton,pusBn
pushed,pushd
ramAvailable,ramAe
ramTotal,ramTl
rapidCool,rapCl
rapidFreeze,rapFe
readIO,reaIO
reboot,rebot
rebootType,rebTe
recipientID,recID
recorder,recor
red,red
referenceTimer,refTr
refrigeration,refrn
relativeHumidity,relHy
reliability,reliy
remoteControlEnable,reCEe
remoteControlEnabled,reCEd
resetNumberValue,reNVe
resetTextMessage,reTMe
resistance,resie
robotCleanerJobMode,rCJMe
robotCleanerOperationMode,rCOMe
room,room
roundingEnergyConsumption,roECn
roundingEnergyGeneration,roEGn
rr,r0
rssi,rssi
runningTime,runTe
runState,runSe
scannerRunState,scRSe
sdp,sdp
secondaryName,secNe
secondaryState,secSe
secondaryUrl,secUl
secondaryVersion,secVn
securityMode,secMe
securityModes,secMs
sensitivity,sensy
sensorHumidity,senHy
sensorOdor,senOr
sensorPM1,sePM1
sensorPM10,sePM0
sensorPM2,sePM2
serialNumber,serNr
sessionDescription,sesDn
signalStrength,sigSh
significantDigits,sigDs
silentTime,silTe
size,size
sleepTimer,sleTr
smokeSensor,smoSr
smokeThreshhold,smoTd
softLeanMass,soLMs
soilLevel,soiLl
speed,speed
speedFactor,speFr
speedWash,speWh
sphygmomanometer,sphyr
spinLevel,spiLl
spinLevelStrength,spLSh
spinSpeed,spiSd
start3Dprint,staDt
startPause,staPe
state,state
status,sus
steamClosetJobMode,sCJMe
steamClosetOperationMode,sCOMe
steamTreat,steTt
step,step
stepValue,steVe
stop3Dprint,stoDt
storageAvailable,stoAe
storageTotal,stoTl
strength,streh
subDeviceCuff,suDCf
subDevicePowerOutlet,sDPOt
subModel,subMl
supportedHorizontalDirection,suHDn
supportedMediaSources,suMSs
supportedMessageValues,suMVs
supportedPlayerModes,suPMs
supportedVerticalDirection,suVDn
supportURL,suURL
swVersion,sweVn
systemTime,sysTe
systolicPressure,sysPe
targetAltitude,tarAe
targetDuration,tarDn
targetLatitude,tarLe
targetLongitude,tarL0
targetTemperature,tarTe
targetTimeToStart,tTTSt
targetTimeToStop,tTTSp
televisionChannel,telCl
temperature,tempe
temperatureAlarm,temAm
temperatureThreshhold,temTd
textMessage,texMe
time,time
timer,timer
toggle,togge
token,tk
tone,tone
turbo,turbo
turboEnabled,turEd
type,type
uninstall,uninl
unit,unit
unmount,unmot
upChannel,uphCl
updateFirmware,updFe
upVolume,upoVe
uri,ur0
URL,url
useGrinder,useGr
uvSensor,uveSr
uvStatus,uvtSs
uvValue,uvaVe
version,versn
verticalAccuracy,verAy
verticalDirection,verDn
visceraFat,visFt
voc,voc
voltage,volte
volumePercentage,volPe
washTemp,wasTp
water,water
waterFilterInfo,waFIo
waterFlow,watFw
waterFlowStrength,waFSh
waterSensor,watSr
waterStatus,watSs
weight,weigt
writeIO,wriIO
